MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1997-12-30_21 0.9 0 0 93 5349 1 0 NA eor 5349 10 26 99 eor
1997-12-30_22 1 NA 0 93 NA NA NA NA NA 5349 10 26 99 eor
1997-12-30_23 1 NA 0 93 NA NA NA NA NA 5349 10 26 99 eor
1997-12-31_00 0.7 0 0 93 5349 1 0 NA eor 5349 10 26 99 eor
1997-12-31_01 1 0 0 93 5349 1 0 NA eor 5349 10 26 99 eor
1997-12-31_02 0.9 20 1 93 5349 1 1 NA eor 5349 10 26 99 eor
1997-12-31_03 0.4 0 0 93 5349 1 0 NA eor 5349 10 26 99 eor
1997-12-31_04 0.2 0 0 93 5349 1 0 NA eor 5349 10 26 99 eor
1997-12-31_05 0.4 0 0 93 5349 1 0 NA eor 5349 10 26 99 eor
1997-12-31_06 0.7 0 0 93 5349 1 0 NA eor 5349 10 26 99 eor
1997-12-31_07 0.8 NA 0 93 NA NA NA NA NA 5349 10 26 99 eor
1998-11-03_03 3.1 0 0 93 5349 1 1 NA eor 5349 10 26 99 eor
1998-11-03_04 3.5 0 0 93 5349 1 1 NA eor 5349 10 26 99 eor
1998-11-03_05 3.2 0 0 93 5349 1 1 NA eor 5349 10 26 98 eor
1998-11-03_06 3.3 0 0 93 5349 1 1 NA eor 5349 10 26 98 eor
1998-11-03_07 3.7 8.1 0 93 5349 1 1 NA eor 5349 10 26 97 eor
1998-11-03_08 3.8 13.7 1 93 5349 1 1 NA eor 5349 10 26 96 eor
1998-11-03_09 3.5 27.7 1 93 5349 1 1 NA eor 5349 10 26 96 eor
1998-11-03_10 3.2 22.7 1 93 5349 1 1 NA eor 5349 10 26 98 eor
1998-11-03_11 3.5 13.3 0 93 5349 1 1 NA eor 5349 10 26 98 eor
1998-11-03_12 4.2 0 0 93 5349 1 1 NA eor 5349 10 26 99 eor
1998-11-03_13 5.6 10.3 0 93 5349 1 1 NA eor 5349 10 26 100 eor
1998-11-03_14 6 16.9 1 93 5349 1 1 NA eor 5349 10 26 100 eor
1998-11-03_15 6.2 29.1 1 93 5349 1 1 NA eor 5349 10 26 100 eor
1998-11-03_16 6.5 NA 0 93 NA NA NA NA NA 5349 10 26 100 eor
1998-11-03_17 6.6 NA 0 93 NA NA NA NA NA 5349 10 26 100 eor
1998-11-03_18 6.4 0.6 0 93 5349 1 1 NA eor 5349 10 26 100 eor
1998-11-03_19 6.1 0.7 0 93 5349 1 1 NA eor 5349 10 26 100 eor
1998-11-03_20 5.9 0.5 0 93 5349 1 1 NA eor 5349 10 26 100 eor
